movieId,imdbId,tmdbId
1,114709,862
2,113497,8844
3,113228,15602
4,114885,31357
5,113041,11862
6,113277,949
7,114319,11860
8,112302,45325
9,114576,9091
10,113189,710
11,112346,9087
12,112896,12110
13,112453,21032
14,113987,10858
15,112760,1408
16,112641,524
17,114388,4584
18,113101,5
19,112281,9273
20,113845,11517
21,113161,8012
22,112722,1710
23,112401,9691
24,114168,12665
25,113627,451
26,114057,16420
27,114011,9263
28,114117,17015
29,112682,902
31,112792,9909
32,114746,63
34,112431,9598
36,112818,687
39,112697,9603
41,114279,31174
42,112819,11443
43,114272,35196
44,113855,9312
45,114681,577
46,113347,11861
47,114369,807
48,114148,10530
50,114814,629
52,113819,11448
57,113321,9089
58,110877,11010
60,113419,11359
61,116260,17182
62,113862,2054
63,116126,10607
64,118002,19760
65,115683,9536
66,116839,11525
69,113118,10634
70,116367,755
71,113010,11859
72,113537,28387
73,113828,48750
74,115644,20927
75,115676,36929
76,114367,9102
79,116731,9623
81,114660,400
82,112379,880
85,112365,8447
86,118158,10534
87,116151,17414
88,115697,13997
89,113972,2086
92,117002,9095
93,114825,12158
94,115639,9283
95,115759,9208
97,113247,406
100,115907,11062
101,115734,13685
102,117102,47475
104,116483,9614
105,112579,688
107,117110,10874
110,112573,197
111,75314,103
112,113326,33542
122,103859,11066
125,116324,2074
126,110647,27793
132,113451,11863
135,116130,9101
140,118055,9302
141,115685,11000
144,112585,16388
145,112442,9737
147,112461,10474
150,112384,568
151,114287,11780
153,112462,414
154,61395,649
155,112495,1873
157,109370,1775
158,112642,8839
159,112688,20649
160,112715,10329
161,112740,8963
162,109508,26564
163,112851,8068
164,112857,8512
165,112864,1572
168,113071,6520
169,113114,9073
170,113243,10428
171,113464,17447
172,113481,9886
173,113492,9482
174,113500,19326
175,113540,9344
176,113677,9071
177,113690,8973
180,113749,2293
181,113820,9070
185,113957,1642
186,113986,11472
188,114194,11980
190,114323,32646
191,114345,10533
193,114436,10802
194,114478,10149
195,114496,18402
196,114508,9348
198,114558,281
203,114682,9090
204,114781,3512
205,114798,52856
207,114887,9560
208,114898,9804
213,111579,50797
215,112471,76
216,112508,11017
217,112438,37141
218,112571,9382
222,112679,22625
223,109445,2292
224,112883,1909
225,109635,8984
227,109676,4954
229,109579,10531
230,109642,11929
231,109686,8467
232,111797,10451
233,109759,20156
234,109758,18395
235,109707,522
236,113117,397
237,113097,10525
239,113198,15789
242,109771,10954
246,110057,14275
247,110005,1024
248,110066,17207
249,110116,13701
250,110006,14819
252,110099,11777
253,110148,628
255,110189,18713
256,110216,6280
257,113501,9061
258,113538,37108
259,113552,6071
260,76759,11
261,110367,9587
262,113670,19101
265,103994,18183
266,110322,4476
267,110443,11008
270,110391,43742
272,110428,11318
273,109836,3036
274,113755,40490
275,110538,24070
276,110516,8986
277,110527,10510
280,113870,8438
281,110684,11593
282,110638,1945
288,110632,241
289,110737,9058
290,110729,527
292,114069,6950
293,110413,101
296,110912,680
300,110932,11450
302,110963,10452
303,114214,12106
305,110907,3586
306,111495,110
307,108394,108
308,111507,109
312,114571,28033
314,111112,14334
315,111255,2636
316,111282,2164
317,111070,11395
318,111161,278
319,111149,9905
322,114594,20306
325,113936,27993
327,114614,9067
328,114608,9059
329,111280,193
330,114609,25066
332,114852,12122
333,114694,11381
334,111590,32636
337,108550,1587
338,114857,9271
339,114924,2064
340,111667,19855
342,110598,236
343,112435,48287
344,109040,3049
345,109045,2759
346,106339,12635
347,104779,10497
348,109348,11382
349,109444,9331
350,109446,10731
351,109484,10464
353,109506,9495
354,109450,29973
355,109813,888
356,109830,13
357,109831,712
358,113305,16295
360,110093,10879
361,110167,10660
362,110213,10714
364,110357,8587
366,111686,11596
367,110475,854
368,110478,9359
370,110622,36593
371,110771,12280
372,110950,2788
373,105226,10427
374,110989,11011
376,110997,8987
377,111257,1637
378,111256,15128
379,111438,8831
380,111503,36955
381,111693,10449
382,111742,10395
383,111756,12160
390,59170,315
393,111301,11667
405,110027,8011
407,113409,2654
410,106220,2758
412,106226,10436
413,109068,13595
414,109067,46094
415,106292,9409
416,109198,11853
417,109219,16771
419,106400,11041
420,109254,306
421,109279,14522
422,109297,26203
423,109303,178
426,106452,4722
427,106471,18215
428,106489,1607
429,109361,26391
431,106519,6075
432,109439,11310
433,109443,18658
434,106582,9350
435,106598,9612
436,109456,2124
437,109480,26261
438,109493,19176
440,106673,11566
441,106677,9571
442,106697,9739
444,106834,34444
445,106873,26141
446,106332,10997
448,106881,10443
450,111732,16297
453,106941,9024
454,106918,37233
455,106965,1634
457,106977,5503
458,107004,35588
459,109890,2087
464,107076,2019
466,107144,9255
468,112966,10612
469,107151,2259
471,110074,11934
472,110097,106143
473,110123,12475
474,107206,9386
475,107207,7984
477,108551,15765
480,107290,329
481,107302,10909
482,110265,507
485,107362,9593
489,107478,12121
490,107497,2246
491,107501,10502
492,107507,10440
493,107554,9516
494,116253,2320
497,107616,11971
500,107614,788
501,107653,21450
502,110657,11231
505,110687,31586
507,107808,9559
508,107818,9800
509,107822,713
514,110955,10872
515,107943,1245
516,110971,11858
517,107969,7007
519,107978,5550
520,107977,8005
522,105275,10412
524,108002,14534
527,108052,424
529,108065,14291
531,108071,11236
532,111127,11592
533,111143,8850
534,108101,10445
535,108122,695
537,111201,12519
538,108149,23210
539,108160,858
540,108162,867
541,83658,78
542,108186,13203
543,108174,10442
544,108238,11074
546,108255,9607
548,111400,9057
550,111418,10635
551,107688,9479
552,108333,10057
553,108358,11969
555,108399,319
556,108515,26408
558,110763,15139
562,114906,11446
569,110363,31504
575,110366,10897
580,110892,37345
585,112572,9066
586,99785,771
587,99653,251
588,103639,812
589,103064,280
590,99348,581
592,96895,268
593,102926,274
594,29583,408
595,101414,10020
596,32910,10895
597,100405,114
599,65214,576
605,117247,7300
608,116282,275
609,116552,25059
610,82509,11827
611,116514,8766
612,117283,23570
613,116684,47333
616,65421,10112
627,113613,12520
628,117381,1592
631,115509,19042
637,117608,9099
640,116095,10988
647,115956,10684
648,117060,954
653,116136,8840
656,116168,11107
661,116683,10539
662,116287,10543
663,116768,18414
667,112536,25087
671,117128,3065
673,117705,2300
674,62711,8069
678,108181,27768
688,114048,27281
694,117774,20762
697,116289,12656
700,112368,25969
704,117420,9103
707,117107,10990
708,117979,8866
709,95776,12233
710,115851,23449
711,116322,36355
714,112817,922
719,117108,9304
720,118114,503475
724,115963,9100
725,116448,20759
728,112701,32513
733,117500,9802
735,109592,21588
736,117998,664
737,115624,11867
741,113568,9323
742,117894,10280
743,117723,10535
745,112691,532
748,115571,10547
750,57012,935
761,117331,9826
762,117765,9879
765,116669,7095
778,117951,627
780,116629,602
781,117737,14553
782,116277,9566
783,116583,10545
784,115798,9894
785,116778,11543
