movieId,title,genres,year,title_text,year_text,genres_text,tags,content_features
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,toy story,year_1995 decade_1990s,Adventure Adventure Adventure Animation Animation Animation Children Children Children Comedy Comedy Comedy Fantasy Fantasy Fantasy,pixar fun,toy story year_1995 decade_1990s Adventure Adventure Adventure Animation Animation Animation Children Children Children Comedy Comedy Comedy Fantasy Fantasy Fantasy pixar fun
2,Jumanji (1995),Adventure|Children|Fantasy,1995,jumanji,year_1995 decade_1990s,Adventure Adventure Adventure Children Children Children Fantasy Fantasy Fantasy,robin williams fantasy,jumanji year_1995 decade_1990s Adventure Adventure Adventure Children Children Children Fantasy Fantasy Fantasy robin williams fantasy
3,Grumpier Old Men (1995),Comedy|Romance,1995,grumpier old men,year_1995 decade_1990s,Comedy Comedy Comedy Romance Romance Romance,,grumpier old men year_1995 decade_1990s Comedy Comedy Comedy Romance Romance Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,waiting to exhale,year_1995 decade_1990s,Comedy Comedy Comedy Drama Drama Drama Romance Romance Romance,,waiting to exhale year_1995 decade_1990s Comedy Comedy Comedy Drama Drama Drama Romance Romance Romance
5,Father of the Bride Part II (1995),Comedy,1995,father of the bride part ii,year_1995 decade_1990s,Comedy Comedy Comedy,remake pregnancy,father of the bride part ii year_1995 decade_1990s Comedy Comedy Comedy remake pregnancy
6,Heat (1995),Action|Crime|Thriller,1995,heat,year_1995 decade_1990s,Action Action Action Crime Crime Crime Thriller Thriller Thriller,,heat year_1995 decade_1990s Action Action Action Crime Crime Crime Thriller Thriller Thriller
7,Sabrina (1995),Comedy|Romance,1995,sabrina,year_1995 decade_1990s,Comedy Comedy Comedy Romance Romance Romance,remake,sabrina year_1995 decade_1990s Comedy Comedy Comedy Romance Romance Romance remake
8,Tom and Huck (1995),Adventure|Children,1995,tom and huck,year_1995 decade_1990s,Adventure Adventure Adventure Children Children Children,,tom and huck year_1995 decade_1990s Adventure Adventure Adventure Children Children Children
9,Sudden Death (1995),Action,1995,sudden death,year_1995 decade_1990s,Action Action Action,,sudden death year_1995 decade_1990s Action Action Action
10,GoldenEye (1995),Action|Adventure|Thriller,1995,goldeneye,year_1995 decade_1990s,Action Action Action Adventure Adventure Adventure Thriller Thriller Thriller,,goldeneye year_1995 decade_1990s Action Action Action Adventure Adventure Adventure Thriller Thriller Thriller
11,"American President, The (1995)",Comedy|Drama|Romance,1995,american president the,year_1995 decade_1990s,Comedy Comedy Comedy Drama Drama Drama Romance Romance Romance,president politics,american president the year_1995 decade_1990s Comedy Comedy Comedy Drama Drama Drama Romance Romance Romance president politics
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,dracula dead and loving it,year_1995 decade_1990s,Comedy Comedy Comedy Horror Horror Horror,,dracula dead and loving it year_1995 decade_1990s Comedy Comedy Comedy Horror Horror Horror
13,Balto (1995),Adventure|Animation|Children,1995,balto,year_1995 decade_1990s,Adventure Adventure Adventure Animation Animation Animation Children Children Children,,balto year_1995 decade_1990s Adventure Adventure Adventure Animation Animation Animation Children Children Children
14,Nixon (1995),Drama,1995,nixon,year_1995 decade_1990s,Drama Drama Drama,president politics,nixon year_1995 decade_1990s Drama Drama Drama president politics
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,cutthroat island,year_1995 decade_1990s,Action Action Action Adventure Adventure Adventure Romance Romance Romance,,cutthroat island year_1995 decade_1990s Action Action Action Adventure Adventure Adventure Romance Romance Romance
16,Casino (1995),Crime|Drama,1995,casino,year_1995 decade_1990s,Crime Crime Crime Drama Drama Drama,mafia,casino year_1995 decade_1990s Crime Crime Crime Drama Drama Drama mafia
17,Sense and Sensibility (1995),Drama|Romance,1995,sense and sensibility,year_1995 decade_1990s,Drama Drama Drama Romance Romance Romance,jane austen,sense and sensibility year_1995 decade_1990s Drama Drama Drama Romance Romance Romance jane austen
18,Four Rooms (1995),Comedy,1995,four rooms,year_1995 decade_1990s,Comedy Comedy Comedy,,four rooms year_1995 decade_1990s Comedy Comedy Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,ace ventura when nature calls,year_1995 decade_1990s,Comedy Comedy Comedy,,ace ventura when nature calls year_1995 decade_1990s Comedy Comedy Comedy
